id,name,league
1,Lonestars,1
2,Pirates,1
3,Warriors,1
4,White Sox,1
5,Boobie Birds,1
6,Expos,1
7,Astros,2
8,Coyotes,2
9,Rangers,2
10,Red Sox,2
11,Dodgers,2
12,Drillers,2
